Service,CostCentre,Spend Type,Amount
Human Resources,Workforce Organisation Development,Employee Costs,76980
Human Resources,Workforce Organisation Development,Employee Costs,537094
Human Resources,Workforce Organisation Development,Employee Related,103950
Human Resources,Workforce Organisation Development,Premise Related,500
Human Resources,Workforce Organisation Development,Transport Related,500
Human Resources,Workforce Organisation Development,Supplies and Services,103850
Human Resources,Workforce Organisation Development,Support Service Recharges Expenditure,118010
Human Resources,Workforce Organisation Development,Support Service Recharges Income,-940880
Human Resources,HR Contracts & Payroll - Directorates,Employee Costs,60770
Human Resources,HR Contracts & Payroll - Directorates,Employee Costs,301790
Human Resources,HR Contracts & Payroll - Directorates,Supplies and Services,53350
Human Resources,HR Contracts & Payroll - Directorates,Support Service Recharges Expenditure,57160
Human Resources,HR Contracts & Payroll - Directorates,Support Service Recharges Income,-472050
Human Resources,HR Contracts & Payroll - Directorates,"Grants, Contributions, Other Income ",-1990
Human Resources,HR Contracts & Payroll - Schools,Employee Costs,35950
Human Resources,HR Contracts & Payroll - Schools,Employee Costs,248130
Human Resources,HR Contracts & Payroll - Schools,Support Service Recharges Income,168220
Human Resources,HR Contracts & Payroll - Schools,"Grants, Contributions, Other Income ",-452300
Human Resources,Pensions Advice,Employee Costs,12760
Human Resources,Pensions Advice,Employee Costs,88806
Human Resources,Pensions Advice,Employee Related,40
Human Resources,Pensions Advice,Supplies and Services,150
Human Resources,Pensions Advice,Support Service Recharges Income,-71170
Human Resources,Pensions Advice,"Grants, Contributions, Other Income ",-30590
Human Resources,"People Development (OD, Adults, CYP)",Employee Related,112000
Human Resources,"People Development (OD, Adults, CYP)",Premise Related,700
Human Resources,"People Development (OD, Adults, CYP)",Supplies and Services,22700
Human Resources,"People Development (OD, Adults, CYP)",Support Service Recharges Income,-107370
Human Resources,"People Development (OD, Adults, CYP)","Grants, Contributions, Other Income ",-28030
Human Resources,Business Management & Development,Employee Costs,23450
Human Resources,Business Management & Development,Employee Costs,163287
Human Resources,Business Management & Development,Support Service Recharges Income,-186740
Human Resources,New MIS / Payroll System,Supplies and Services,108370
Human Resources,New MIS / Payroll System,Support Service Recharges Income,-108370
Human Resources,HR Advisor - Schools,Employee Costs,17540
Human Resources,HR Advisor - Schools,Employee Costs,122656
Human Resources,HR Advisor - Schools,Premise Related,600
Human Resources,HR Advisor - Schools,Support Service Recharges Income,-57720
Human Resources,HR Advisor - Schools,"Grants, Contributions, Other Income ",-83080
Human Resources,DBS,Employee Related,116000
Human Resources,DBS,Support Service Recharges Income,-40580
Human Resources,DBS,"Grants, Contributions, Other Income ",-75420
Human Resources,Occupational Health,Employee Costs,7290
Human Resources,Occupational Health,Employee Costs,51008
Human Resources,Occupational Health,Employee Related,23970
Human Resources,Occupational Health,Supplies and Services,300
Human Resources,Occupational Health,Support Service Recharges Income,-72670
Human Resources,Occupational Health,"Grants, Contributions, Other Income ",-9900
Human Resources,Dean Clough Building,Premise Related,64500
Human Resources,Dean Clough Building,Support Service Recharges Income,-64500
Human Resources,HR - One,Support Service Recharges Income,31420
Human Resources,HR - One,"Grants, Contributions, Other Income ",-31420
Adult Health & Social Care,Operational Mgmt (Personalised Long Term Support),Employee Costs,61580
Adult Health & Social Care,Operational Mgmt (Personalised Long Term Support),Employee Costs,430770
Adult Health & Social Care,Operational Mgmt (Personalised Long Term Support),Premise Related,370
Adult Health & Social Care,Operational Mgmt (Personalised Long Term Support),Transport Related,3770
Adult Health & Social Care,Operational Mgmt (Personalised Long Term Support),Supplies and Services,2100
Adult Health & Social Care,Operational Mgmt (Personalised Long Term Support),"Grants, Contributions, Other Income ",-139900
Adult Health & Social Care,North Halifax OPPD Service Team,Employee Costs,46010
Adult Health & Social Care,North Halifax OPPD Service Team,Employee Costs,320120
Adult Health & Social Care,North Halifax OPPD Service Team,Transport Related,13100
Adult Health & Social Care,North Halifax OPPD Service Team,Transport Related,3160
Adult Health & Social Care,North Halifax OPPD Service Team,Supplies and Services,550
Adult Health & Social Care,North Halifax OPPD Service Team,"Grants, Contributions, Other Income ",-100020
Adult Health & Social Care,South Halifax OPPD Service Team,Employee Costs,45100
Adult Health & Social Care,South Halifax OPPD Service Team,Employee Costs,313640
Adult Health & Social Care,South Halifax OPPD Service Team,Transport Related,3180
Adult Health & Social Care,South Halifax OPPD Service Team,"Grants, Contributions, Other Income ",-100020
Adult Health & Social Care,Lower Valley OPPD Service Team,Employee Costs,46680
Adult Health & Social Care,Lower Valley OPPD Service Team,Employee Costs,325130
Adult Health & Social Care,Lower Valley OPPD Service Team,Transport Related,6940
Adult Health & Social Care,Lower Valley OPPD Service Team,"Grants, Contributions, Other Income ",-100030
Adult Health & Social Care,Upper Valley OPPD Service Team,Employee Costs,80510
Adult Health & Social Care,Upper Valley OPPD Service Team,Employee Costs,560210
Adult Health & Social Care,Upper Valley OPPD Service Team,Transport Related,7770
Adult Health & Social Care,Upper Valley OPPD Service Team,"Grants, Contributions, Other Income ",-278030
Adult Health & Social Care,Calderdale Royal Hospital Social Work Team,Employee Costs,141740
Adult Health & Social Care,Calderdale Royal Hospital Social Work Team,Employee Costs,984650
Adult Health & Social Care,Calderdale Royal Hospital Social Work Team,Transport Related,11990
Adult Health & Social Care,Calderdale Royal Hospital Social Work Team,"Grants, Contributions, Other Income ",-989470
Adult Health & Social Care,Operational Management (Prevention And Early Help),Employee Costs,22460
Adult Health & Social Care,Operational Management (Prevention And Early Help),Employee Costs,161280
Adult Health & Social Care,Operational Management (Prevention And Early Help),Transport Related,660
Adult Health & Social Care,Operational Management (Prevention And Early Help),Supplies and Services,25400
Adult Health & Social Care,Operational Management (AADS & MHS),Employee Costs,8370
Adult Health & Social Care,Operational Management (AADS & MHS),Employee Costs,162120
Adult Health & Social Care,Operational Management (AADS & MHS),Transport Related,710
Adult Health & Social Care,Operational Management (AADS & MHS),Supplies and Services,1000
Adult Health & Social Care,Operational Management (AADS & MHS),"Grants, Contributions, Other Income ",-43000
Adult Health & Social Care,Mental Capacity Act Team,Employee Costs,56440
Adult Health & Social Care,Mental Capacity Act Team,Employee Costs,393740
Adult Health & Social Care,Mental Capacity Act Team,Transport Related,2090
Adult Health & Social Care,Mental Capacity Act Team,Supplies and Services,30880
Adult Health & Social Care,Community Social Work Practice,Employee Costs,86550
Adult Health & Social Care,Community Social Work Practice,Employee Costs,600900
Adult Health & Social Care,Community Social Work Practice,Transport Related,10320
Adult Health & Social Care,Community Social Work Practice,Transport Related,2350
Adult Health & Social Care,Community Social Work Practice,Supplies and Services,430
Adult Health & Social Care,Community Social Work Practice,Depreciation Charges and Revenue contribution to Capital,5440
Adult Health & Social Care,Community Social Work Practice,"Grants, Contributions, Other Income ",-69770
Adult Health & Social Care,Accessible Homes,Employee Costs,14460
Adult Health & Social Care,Accessible Homes,Employee Costs,100100
Adult Health & Social Care,Accessible Homes,Transport Related,6650
Adult Health & Social Care,Accessible Homes,Supplies and Services,8950
Adult Health & Social Care,Accessible Homes,"Grants, Contributions, Other Income ",-100770
Adult Health & Social Care,Handyperson Service,Employee Related,100
Adult Health & Social Care,Handyperson Service,Transport Related,17700
Adult Health & Social Care,Handyperson Service,Supplies and Services,6470
Adult Health & Social Care,Handyperson Service,"Grants, Contributions, Other Income ",-19770
Adult Health & Social Care,Budget Saving - All Age Disability Service,Large Contract Areas,-120500
Adult Health & Social Care,Budget Saving - Transformation of AHSC,Large Contract Areas,-486000
Adult Health & Social Care,Fairer Charges Income - Adults,Employee Costs,17480
Adult Health & Social Care,Fairer Charges Income - Adults,Employee Costs,120420
Adult Health & Social Care,Fairer Charges Income - Adults,"Grants, Contributions, Other Income ",-6523400
Adult Health & Social Care,Care Charging Team (CAT),Employee Costs,43280
Adult Health & Social Care,Care Charging Team (CAT),Employee Costs,301890
Adult Health & Social Care,Care Charging Team (CAT),Transport Related,240
Adult Health & Social Care,Care Charging Team (CAT),Supplies and Services,2200
Adult Health & Social Care,Care Charging Team (CAT),"Grants, Contributions, Other Income ",-104110
Adult Health & Social Care,AHSC Strategic Management,Employee Costs,95240
Adult Health & Social Care,AHSC Strategic Management,Employee Costs,674620
Adult Health & Social Care,AHSC Strategic Management,Transport Related,680
Adult Health & Social Care,AHSC Strategic Management,Supplies and Services,19590
Adult Health & Social Care,Assistive Technology,Employee Costs,9880
Adult Health & Social Care,Assistive Technology,Employee Costs,68360
Adult Health & Social Care,Assistive Technology,Transport Related,2170
Adult Health & Social Care,Assistive Technology,Supplies and Services,175760
Adult Health & Social Care,Assistive Technology,"Grants, Contributions, Other Income ",-230070
Adult Health & Social Care,Independent Reviewing Team,Employee Costs,28800
Adult Health & Social Care,Independent Reviewing Team,Employee Costs,253650
Adult Health & Social Care,Independent Reviewing Team,Transport Related,2970
Adult Health & Social Care,Independent Reviewing Team,"Grants, Contributions, Other Income ",-54630
Adult Health & Social Care,Safeguarding Adults,Employee Costs,36500
Adult Health & Social Care,Safeguarding Adults,Employee Costs,255160
Adult Health & Social Care,Safeguarding Adults,Employee Related,450
Adult Health & Social Care,Safeguarding Adults,Transport Related,440
Adult Health & Social Care,Safeguarding Adults,Supplies and Services,41850
Adult Health & Social Care,Safeguarding Adults,"Grants, Contributions, Other Income ",-20700
Adult Health & Social Care,ICES - Pooled Budget,Supplies and Services,910210
Adult Health & Social Care,ICES - Pooled Budget,"Grants, Contributions, Other Income ",-910210
Adult Health & Social Care,Community Mental Health Team,Employee Costs,118100
Adult Health & Social Care,Community Mental Health Team,Employee Costs,872560
Adult Health & Social Care,Community Mental Health Team,Employee Related,250
Adult Health & Social Care,Community Mental Health Team,Transport Related,20320
Adult Health & Social Care,Community Mental Health Team,Supplies and Services,9350
Adult Health & Social Care,Community Mental Health Team,"Grants, Contributions, Other Income ",-269610
Adult Health & Social Care,Community Learning Disabilities Team,Employee Costs,91010
Adult Health & Social Care,Community Learning Disabilities Team,Employee Costs,633490
Adult Health & Social Care,Community Learning Disabilities Team,Transport Related,7290
Adult Health & Social Care,OP MH Social Work Team,Employee Costs,24640
Adult Health & Social Care,OP MH Social Work Team,Employee Costs,171770
Adult Health & Social Care,OP MH Social Work Team,Transport Related,6660
Adult Health & Social Care,OP MH Social Work Team,Supplies and Services,700
Adult Health & Social Care,AADS - Physical Disability & Sensory Impairment Te,Employee Costs,36110
Adult Health & Social Care,AADS - Physical Disability & Sensory Impairment Te,Employee Costs,247680
Adult Health & Social Care,AADS - Physical Disability & Sensory Impairment Te,Transport Related,9250
Adult Health & Social Care,AADS - Physical Disability & Sensory Impairment Te,Supplies and Services,22740
Adult Health & Social Care,Direct Payments Team,Employee Costs,13030
Adult Health & Social Care,Direct Payments Team,Employee Costs,149230
Adult Health & Social Care,Direct Payments Team,Employee Related,280
Adult Health & Social Care,Direct Payments Team,Premise Related,100
Adult Health & Social Care,Direct Payments Team,Transport Related,950
Adult Health & Social Care,Direct Payments Team,Supplies and Services,5350
Adult Health & Social Care,Direct Payments Team,"Grants, Contributions, Other Income ",-62340
Adult Health & Social Care,Self Directed Support (OP/PD),Supplies and Services,5000
Adult Health & Social Care,Self Directed Support (OP/PD),Transfer Payments,6829120
Adult Health & Social Care,Self Directed Support (OP/PD),"Grants, Contributions, Other Income ",-1390640
Adult Health & Social Care,Self Directed Support (LD),Supplies and Services,5000
Adult Health & Social Care,Self Directed Support (LD),Transfer Payments,4172580
Adult Health & Social Care,Self Directed Support (LD),"Grants, Contributions, Other Income ",-1374390
Adult Health & Social Care,Self Directed Support (MH),Transfer Payments,254530
Adult Health & Social Care,Self Directed Support (MH),"Grants, Contributions, Other Income ",-25200
Adult Health & Social Care,Self Directed Support,Transfer Payments,423870
Adult Health & Social Care,Housing Related Support,Large Contract Areas,1366660
Adult Health & Social Care,Union Housing,Employee Costs,139840
Adult Health & Social Care,Union Housing,Employee Costs,1176690
Adult Health & Social Care,Union Housing,Employee Related,250
Adult Health & Social Care,Union Housing,Premise Related,112839
Adult Health & Social Care,Union Housing,Transport Related,9570
Adult Health & Social Care,Union Housing,Transport Related,1000
Adult Health & Social Care,Union Housing,Supplies and Services,28720
Adult Health & Social Care,Union Housing,Large Contract Areas,115000
Adult Health & Social Care,Union Housing,Depreciation Charges and Revenue contribution to Capital,76800
Adult Health & Social Care,Union Housing,"Grants, Contributions, Other Income ",-862410
Adult Health & Social Care,Administration,Employee Costs,7880
Adult Health & Social Care,Administration,Supplies and Services,823249
Adult Health & Social Care,Administration,Large Contract Areas,1181427
Adult Health & Social Care,Administration,"Grants, Contributions, Other Income ",-1576667
Adult Health & Social Care,OBSOLETE USE 2630 (prev:Locality Admin),Premise Related,25950
Adult Health & Social Care,OBSOLETE USE 2630 (prev:Locality Admin),Depreciation Charges and Revenue contribution to Capital,18940
Adult Health & Social Care,Gateway to Care SIT,Employee Costs,55340
Adult Health & Social Care,Gateway to Care SIT,Employee Costs,381460
Adult Health & Social Care,Gateway to Care SIT,Employee Related,350
Adult Health & Social Care,Gateway to Care SIT,Transport Related,770
Adult Health & Social Care,Gateway to Care SIT,Supplies and Services,171300
Adult Health & Social Care,Gateway to Care SIT,"Grants, Contributions, Other Income ",-286160
Adult Health & Social Care,Occupational Therapy (OT) Assessment Service,Employee Costs,64020
Adult Health & Social Care,Occupational Therapy (OT) Assessment Service,Employee Costs,462730
Adult Health & Social Care,Occupational Therapy (OT) Assessment Service,Transport Related,6070
Adult Health & Social Care,Occupational Therapy (OT) Assessment Service,"Grants, Contributions, Other Income ",-346000
Adult Health & Social Care,Finance and Business Change,Support Service Recharges Expenditure,4064000
Adult Health & Social Care,Finance and Business Change,Depreciation Charges and Revenue contribution to Capital,7300
Adult Health & Social Care,Client Financial Services,Employee Costs,9850
Adult Health & Social Care,Client Financial Services,Employee Costs,68240
Adult Health & Social Care,Client Financial Services,Transport Related,170
Adult Health & Social Care,Client Financial Services,Transfer Payments,1200
Adult Health & Social Care,Supported Living,Premise Related,27460
Adult Health & Social Care,Supported Living,Large Contract Areas,13402430
Adult Health & Social Care,Supported Living,"Grants, Contributions, Other Income ",-3858020
Adult Health & Social Care,Carers Support,Employee Costs,4990
Adult Health & Social Care,Carers Support,Premise Related,700
Adult Health & Social Care,Carers Support,Supplies and Services,880
Adult Health & Social Care,Carers Support,Large Contract Areas,369520
Adult Health & Social Care,Carers Support,Transfer Payments,222000
Adult Health & Social Care,Carers Support,"Grants, Contributions, Other Income ",-510000
Adult Health & Social Care,Residential & Nursing Placements (Phys Dis),Large Contract Areas,1660000
Adult Health & Social Care,Residential & Nursing Placements (Phys Dis),"Grants, Contributions, Other Income ",-514890
Adult Health & Social Care,Residential & Nursing Placements (Older People),Supplies and Services,200470
Adult Health & Social Care,Residential & Nursing Placements (Older People),Large Contract Areas,17459840
Adult Health & Social Care,Residential & Nursing Placements (Older People),"Grants, Contributions, Other Income ",-8209920
Adult Health & Social Care,LD Home Care,Large Contract Areas,384910
Adult Health & Social Care,LD Home Care,"Grants, Contributions, Other Income ",-110357
Adult Health & Social Care,Residential & Nursing Placements (Learning Dis),Large Contract Areas,6447020
Adult Health & Social Care,Residential & Nursing Placements (Learning Dis),"Grants, Contributions, Other Income ",-2928330
Adult Health & Social Care,Mental Health Residential & Nursing Placements,Large Contract Areas,1215280
Adult Health & Social Care,Mental Health Residential & Nursing Placements,"Grants, Contributions, Other Income ",-491840
Adult Health & Social Care,Commissioned Home Care (OP/PD),Large Contract Areas,9821840
Adult Health & Social Care,Commissioned Home Care (OP/PD),"Grants, Contributions, Other Income ",-3974140
Adult Health & Social Care,Mental Health: Home Support,Large Contract Areas,313800
Adult Health & Social Care,Mental Health: Home Support,"Grants, Contributions, Other Income ",-152100
Adult Health & Social Care,Older People Commissioning Budget,Supplies and Services,121850
Adult Health & Social Care,Older People Commissioning Budget,Large Contract Areas,2050580
Adult Health & Social Care,Older People Commissioning Budget,Transfer Payments,116140
Adult Health & Social Care,Older People Commissioning Budget,"Grants, Contributions, Other Income ",-694500
Adult Health & Social Care,LD Commissioning Budget,Premise Related,11910
Adult Health & Social Care,LD Commissioning Budget,Supplies and Services,83500
Adult Health & Social Care,LD Commissioning Budget,Large Contract Areas,799170
Adult Health & Social Care,LD Commissioning Budget,Depreciation Charges and Revenue contribution to Capital,23790
Adult Health & Social Care,LD Commissioning Budget,"Grants, Contributions, Other Income ",-367000
Adult Health & Social Care,Mental Health Commissioning Budget,Supplies and Services,25410
Adult Health & Social Care,Physical Disability Commissioning - Non Placements,Premise Related,19530
Adult Health & Social Care,Physical Disability Commissioning - Non Placements,Large Contract Areas,257330
Adult Health & Social Care,Physical Disability Commissioning - Non Placements,"Grants, Contributions, Other Income ",-257330
Green Space and Street Scene,Income,Employee Costs,350
Green Space and Street Scene,Income,Employee Costs,5370
Green Space and Street Scene,Income,Premise Related,2100
Green Space and Street Scene,Income,Supplies and Services,27400
Green Space and Street Scene,Income,Support Service Recharges Expenditure,231580
Green Space and Street Scene,Income,"Grants, Contributions, Other Income ",-116020
Green Space and Street Scene,Technical Support,Employee Costs,39640
Green Space and Street Scene,Technical Support,Employee Costs,241170
Green Space and Street Scene,Technical Support,Employee Related,15300
Green Space and Street Scene,Technical Support,Premise Related,1860
Green Space and Street Scene,Technical Support,Transport Related,2100
Green Space and Street Scene,Technical Support,Supplies and Services,115410
Green Space and Street Scene,Technical Support,Large Contract Areas,130000
Green Space and Street Scene,Technical Support,Support Service Recharges Expenditure,203780
Green Space and Street Scene,Technical Support,Depreciation Charges and Revenue contribution to Capital,26090
Green Space and Street Scene,Technical Support,"Grants, Contributions, Other Income ",-77190
Green Space and Street Scene,Lower Valley,Employee Costs,83730
Green Space and Street Scene,Lower Valley,Employee Costs,676959
Green Space and Street Scene,Lower Valley,Premise Related,6070
Green Space and Street Scene,Lower Valley,Premise Related,600
Green Space and Street Scene,Lower Valley,Transport Related,750
Green Space and Street Scene,Lower Valley,Transport Related,31010
Green Space and Street Scene,Lower Valley,Supplies and Services,27280
Green Space and Street Scene,Lower Valley,Support Service Recharges Expenditure,253010
Green Space and Street Scene,Lower Valley,Depreciation Charges and Revenue contribution to Capital,61150
Green Space and Street Scene,Lower Valley,"Grants, Contributions, Other Income ",-19670
Green Space and Street Scene,Central,Employee Costs,81850
Green Space and Street Scene,Central,Employee Costs,715027
Green Space and Street Scene,Central,Premise Related,7520
Green Space and Street Scene,Central,Premise Related,480
Green Space and Street Scene,Central,Transport Related,2440
Green Space and Street Scene,Central,Transport Related,31940
Green Space and Street Scene,Central,Supplies and Services,17480
Green Space and Street Scene,Central,Support Service Recharges Expenditure,137560
Green Space and Street Scene,Central,Depreciation Charges and Revenue contribution to Capital,86890
Green Space and Street Scene,Central,"Grants, Contributions, Other Income ",-31440
Green Space and Street Scene,Halifax North,Premise Related,28010
Green Space and Street Scene,Halifax North,Support Service Recharges Expenditure,22660
Green Space and Street Scene,Upper Valley,Employee Costs,100440
Green Space and Street Scene,Upper Valley,Employee Costs,696764
Green Space and Street Scene,Upper Valley,Premise Related,2520
Green Space and Street Scene,Upper Valley,Premise Related,3750
Green Space and Street Scene,Upper Valley,Transport Related,1600
Green Space and Street Scene,Upper Valley,Transport Related,38000
Green Space and Street Scene,Upper Valley,Supplies and Services,26560
Green Space and Street Scene,Upper Valley,Support Service Recharges Expenditure,136060
Green Space and Street Scene,Upper Valley,Depreciation Charges and Revenue contribution to Capital,62570
Green Space and Street Scene,Upper Valley,"Grants, Contributions, Other Income ",-43400
Green Space and Street Scene,Machinery Workshop,Premise Related,-2480
Green Space and Street Scene,Machinery Workshop,Support Service Recharges Expenditure,1430
Green Space and Street Scene,Machinery Workshop,Depreciation Charges and Revenue contribution to Capital,16510
Green Space and Street Scene,Manor Heath,Employee Costs,12600
Green Space and Street Scene,Manor Heath,Employee Costs,63132
Green Space and Street Scene,Manor Heath,Premise Related,34010
Green Space and Street Scene,Manor Heath,Transport Related,100
Green Space and Street Scene,Manor Heath,Supplies and Services,25500
Green Space and Street Scene,Manor Heath,Support Service Recharges Expenditure,45220
Green Space and Street Scene,Manor Heath,Depreciation Charges and Revenue contribution to Capital,83900
Green Space and Street Scene,Manor Heath,"Grants, Contributions, Other Income ",-35630
Green Space and Street Scene,Allotments,Premise Related,2280
Green Space and Street Scene,Allotments,Premise Related,1000
Green Space and Street Scene,Allotments,Supplies and Services,1390
Green Space and Street Scene,Allotments,Depreciation Charges and Revenue contribution to Capital,9720
Green Space and Street Scene,Allotments,"Grants, Contributions, Other Income ",-16100
Green Space and Street Scene,Playgrounds,Employee Costs,3930
Green Space and Street Scene,Playgrounds,Employee Costs,63610
Green Space and Street Scene,Playgrounds,Transport Related,500
Green Space and Street Scene,Playgrounds,Transport Related,1760
Green Space and Street Scene,Playgrounds,Supplies and Services,56580
Green Space and Street Scene,Playgrounds,Support Service Recharges Expenditure,8190
Green Space and Street Scene,Playgrounds,Depreciation Charges and Revenue contribution to Capital,64880
Green Space and Street Scene,Playgrounds,"Grants, Contributions, Other Income ",-1800
Green Space and Street Scene,Waste Disposal,Supplies and Services,226050
Green Space and Street Scene,Drainage & Sweeping,Employee Costs,72910
Green Space and Street Scene,Drainage & Sweeping,Employee Costs,324605
Green Space and Street Scene,Drainage & Sweeping,Premise Related,25000
Green Space and Street Scene,Drainage & Sweeping,Transport Related,15460
Green Space and Street Scene,Drainage & Sweeping,Transport Related,11250
Green Space and Street Scene,Drainage & Sweeping,Supplies and Services,1050
Green Space and Street Scene,Drainage & Sweeping,Support Service Recharges Expenditure,46340
Green Space and Street Scene,Shibden,Employee Costs,11630
Green Space and Street Scene,Shibden,Employee Costs,52503
Green Space and Street Scene,Shibden,Premise Related,8710
Green Space and Street Scene,Shibden,Premise Related,8000
Green Space and Street Scene,Shibden,Transport Related,1810
Green Space and Street Scene,Shibden,Supplies and Services,8950
Green Space and Street Scene,Shibden,Support Service Recharges Expenditure,20880
Green Space and Street Scene,Shibden,Depreciation Charges and Revenue contribution to Capital,11120
Green Space and Street Scene,Shibden,"Grants, Contributions, Other Income ",-48400
Green Space and Street Scene,Forestry,Employee Costs,24240
Green Space and Street Scene,Forestry,Employee Costs,131965
Green Space and Street Scene,Forestry,Premise Related,830
Green Space and Street Scene,Forestry,Transport Related,1480
Green Space and Street Scene,Forestry,Transport Related,10130
Green Space and Street Scene,Forestry,Supplies and Services,9570
Green Space and Street Scene,Forestry,Support Service Recharges Expenditure,34230
Green Space and Street Scene,Forestry,"Grants, Contributions, Other Income ",-14990
Green Space and Street Scene,"Support - (Courier, PAT Tester)",Employee Costs,3700
Green Space and Street Scene,"Support - (Courier, PAT Tester)",Employee Costs,25551
Green Space and Street Scene,"Support - (Courier, PAT Tester)",Transport Related,940
Green Space and Street Scene,"Support - (Courier, PAT Tester)",Support Service Recharges Expenditure,6700
Green Space and Street Scene,Rochdale Canal,Supplies and Services,331570
Green Space and Street Scene,Countryside Service,Employee Costs,44590
Green Space and Street Scene,Countryside Service,Employee Costs,257234
Green Space and Street Scene,Countryside Service,Premise Related,310
Green Space and Street Scene,Countryside Service,Premise Related,50
Green Space and Street Scene,Countryside Service,Transport Related,600
Green Space and Street Scene,Countryside Service,Transport Related,3360
Green Space and Street Scene,Countryside Service,Supplies and Services,52620
Green Space and Street Scene,Countryside Service,Support Service Recharges Expenditure,49340
Green Space and Street Scene,Countryside Service,"Grants, Contributions, Other Income ",-34110
Green Space and Street Scene,Ogden Water,Premise Related,5230
Green Space and Street Scene,Ogden Water,Supplies and Services,20100
Green Space and Street Scene,Ogden Water,Depreciation Charges and Revenue contribution to Capital,8580
Green Space and Street Scene,Ogden Water,"Grants, Contributions, Other Income ",-16730
Green Space and Street Scene,Jerusalem Farm,Employee Costs,1350
Green Space and Street Scene,Jerusalem Farm,Employee Costs,9080
Green Space and Street Scene,Jerusalem Farm,Premise Related,8080
Green Space and Street Scene,Jerusalem Farm,Transport Related,280
Green Space and Street Scene,Jerusalem Farm,Supplies and Services,990
Green Space and Street Scene,Jerusalem Farm,Support Service Recharges Expenditure,8580
Green Space and Street Scene,Jerusalem Farm,Depreciation Charges and Revenue contribution to Capital,12670
Green Space and Street Scene,Jerusalem Farm,"Grants, Contributions, Other Income ",-11190
Green Space and Street Scene,Jerusalem Farm - Barn,Premise Related,3390
Green Space and Street Scene,"Changing, Pavillions and Sports Pitches",Premise Related,38920
Green Space and Street Scene,"Changing, Pavillions and Sports Pitches",Support Service Recharges Expenditure,81650
Green Space and Street Scene,"Changing, Pavillions and Sports Pitches",Depreciation Charges and Revenue contribution to Capital,950
Green Space and Street Scene,"Changing, Pavillions and Sports Pitches","Grants, Contributions, Other Income ",-53110
Green Space and Street Scene,Parking Administration,Employee Costs,48870
Green Space and Street Scene,Parking Administration,Employee Costs,303543
Green Space and Street Scene,Parking Administration,Premise Related,5040
Green Space and Street Scene,Parking Administration,Premise Related,1910
Green Space and Street Scene,Parking Administration,Transport Related,40
Green Space and Street Scene,Parking Administration,Supplies and Services,127150
Green Space and Street Scene,Parking Administration,Large Contract Areas,517730
Green Space and Street Scene,Parking Administration,Support Service Recharges Expenditure,419400
Green Space and Street Scene,Parking Administration,Depreciation Charges and Revenue contribution to Capital,105270
Green Space and Street Scene,On Street Car Parking,Depreciation Charges and Revenue contribution to Capital,-4730
Green Space and Street Scene,On Street Car Parking,"Grants, Contributions, Other Income ",-2101630
Green Space and Street Scene,Off Street Car Parking,Premise Related,301110
Green Space and Street Scene,Off Street Car Parking,Supplies and Services,8000
Green Space and Street Scene,Off Street Car Parking,Depreciation Charges and Revenue contribution to Capital,44150
Green Space and Street Scene,Off Street Car Parking,"Grants, Contributions, Other Income ",-1836140
Green Space and Street Scene,Highways Maintenance,Employee Costs,47370
Green Space and Street Scene,Highways Maintenance,Employee Costs,214930
Green Space and Street Scene,Highways Maintenance,Support Service Recharges Expenditure,1462170
Green Space and Street Scene,Area Maintenance team,Employee Costs,102720
Green Space and Street Scene,Area Maintenance team,Employee Costs,731937
Green Space and Street Scene,Area Maintenance team,Employee Related,5500
Green Space and Street Scene,Area Maintenance team,Transport Related,119900
Green Space and Street Scene,Area Maintenance team,Supplies and Services,135500
Green Space and Street Scene,Area Maintenance team,Support Service Recharges Expenditure,75510
Green Space and Street Scene,Allan Park,Premise Related,1500
Green Space and Street Scene,Bedford St,Premise Related,8050
Green Space and Street Scene,Carr Green Lane Changing,Premise Related,1500
Green Space and Street Scene,Calder Holmes Park,Premise Related,500
Green Space and Street Scene,Centre Vale Park Shelter,Premise Related,5600
Green Space and Street Scene,Crow Wood Maintenance,Premise Related,2500
Green Space and Street Scene,Goldfields Training Room,Premise Related,1500
Green Space and Street Scene,Hullen Edge,Premise Related,500
Green Space and Street Scene,Holmfield Park,Premise Related,500
Green Space and Street Scene,Lane Head,Premise Related,500
Green Space and Street Scene,Lockhill Mills,Premise Related,10050
Green Space and Street Scene,Mill Fold,Premise Related,500
Green Space and Street Scene,Manor Heath Cafe,Premise Related,14800
Green Space and Street Scene,Natty Lane,Premise Related,3000
Green Space and Street Scene,Northowram Rec,Premise Related,2000
Green Space and Street Scene,Oxford Lane,Premise Related,500
Green Space and Street Scene,Peoples Park Office,Premise Related,3000
Green Space and Street Scene,Shelf Hall Depot,Premise Related,3050
Green Space and Street Scene,Stainland Memorial,Premise Related,1000
Green Space and Street Scene,Shroggs Park Depot,Premise Related,800
Green Space and Street Scene,Wellholme Park,Premise Related,2800
Green Space and Street Scene,White Lee,Premise Related,800
Green Space and Street Scene,Wainhouse Tower,Premise Related,1500
Sport & Leisure Management DSO,Brighouse Pool - Wellhome Park,Employee Costs,61850
Sport & Leisure Management DSO,Brighouse Pool - Wellhome Park,Employee Costs,654293
Sport & Leisure Management DSO,Brighouse Pool - Wellhome Park,Premise Related,279670
Sport & Leisure Management DSO,Brighouse Pool - Wellhome Park,Premise Related,123
Sport & Leisure Management DSO,Brighouse Pool - Wellhome Park,Supplies and Services,72245
